MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx20",0,128,1024,152599709
"cx20",0,256,2048,147568369
"cx20",0,512,4096,147568780
"cx20",0,1024,8192,147553311
"cx20",0,2048,16384,147544204
"cx20",0,4096,32768,148161607
"cx20",0,8192,65536,274963393
"cx20",0,16384,131072,333195034
"cx20",0,32768,262144,372151147
"cx20",0,65536,524288,623353282
"cx20",0,131072,1048576,956378575
"cx20",0,262144,2097152,1163771752
"cx20",0,524288,4194304,1270530929
"cx20",0,1048576,8388608,1783962029
"cx20",0,2097152,16777216,4703865688
"cx20",0,4194304,33554432,8265340541
"cx20",0,8388608,67108864,9919888671
"cx20",0,16777216,134217728,11349906794
"cx20",0,33554432,268435456,12204149024
"cx20",0,67108864,536870912,12894676139
"cx20",0,134217728,1073741824,13547149944
"cx20",0,268435456,2147483648,14010871596
"cx20",0,536870912,4294967296,16021056054
"cx20",0,1073741824,8589934592,19456994221
"cx20",0,2147483648,17179869184,30602079917
"cx20",0,4294967296,34359738368,23357921660
"cx20",0,8589934592,68719476736,25909794595
"cx20",1,128,1024,147550252
"cx20",1,256,2048,147472727
"cx20",1,512,4096,147513714
"cx20",1,1024,8192,147485180
"cx20",1,2048,16384,147572554
"cx20",1,4096,32768,148271379
"cx20",1,8192,65536,274443576
"cx20",1,16384,131072,331803949
"cx20",1,32768,262144,360952066
"cx20",1,65536,524288,568738694
"cx20",1,131072,1048576,946250330
"cx20",1,262144,2097152,1164125723
"cx20",1,524288,4194304,1272714823
"cx20",1,1048576,8388608,1335978485
"cx20",1,2097152,16777216,2908787822
"cx20",1,4194304,33554432,7476905066
"cx20",1,8388608,67108864,9916553202
"cx20",1,16777216,134217728,11348388700
"cx20",1,33554432,268435456,12190172030
"cx20",1,67108864,536870912,12897647257
"cx20",1,134217728,1073741824,13521735882
"cx20",1,268435456,2147483648,14043294012
"cx20",1,536870912,4294967296,16000564752
"cx20",1,1073741824,8589934592,19444426864
"cx20",1,2147483648,17179869184,21803293494
"cx20",1,4294967296,34359738368,23305303380
"cx20",1,8589934592,68719476736,24567215619
"cx20",2,128,1024,147579028
"cx20",2,256,2048,147599757
"cx20",2,512,4096,147575773
"cx20",2,1024,8192,147657366
"cx20",2,2048,16384,147677333
"cx20",2,4096,32768,147919640
"cx20",2,8192,65536,274229287
"cx20",2,16384,131072,330558439
"cx20",2,32768,262144,360627117
"cx20",2,65536,524288,551904820
"cx20",2,131072,1048576,960884538
"cx20",2,262144,2097152,1162468334
"cx20",2,524288,4194304,1273258569
"cx20",2,1048576,8388608,1338523825
"cx20",2,2097152,16777216,2076155154
"cx20",2,4194304,33554432,7518218875
"cx20",2,8388608,67108864,9911571248
"cx20",2,16777216,134217728,11347106912
"cx20",2,33554432,268435456,12178492352
"cx20",2,67108864,536870912,12853933786
"cx20",2,134217728,1073741824,13448036979
"cx20",2,268435456,2147483648,13961770577
"cx20",2,536870912,4294967296,16117291389
"cx20",2,1073741824,8589934592,19276366463
"cx20",2,2147483648,17179869184,22366232902
"cx20",2,4294967296,34359738368,23281041152
"cx20",2,8589934592,68719476736,24412770898
"cx20",3,128,1024,147583280
"cx20",3,256,2048,147528156
"cx20",3,512,4096,147549065
"cx20",3,1024,8192,147630078
"cx20",3,2048,16384,147705229
"cx20",3,4096,32768,148609561
"cx20",3,8192,65536,282066607
"cx20",3,16384,131072,333892436
"cx20",3,32768,262144,360963208
"cx20",3,65536,524288,474195425
"cx20",3,131072,1048576,600719824
"cx20",3,262144,2097152,948898143
"cx20",3,524288,4194304,1278918211
"cx20",3,1048576,8388608,1336493920
"cx20",3,2097152,16777216,2928414852
"cx20",3,4194304,33554432,7513980743
"cx20",3,8388608,67108864,9953252920
"cx20",3,16777216,134217728,11374424367
"cx20",3,33554432,268435456,12201664289
"cx20",3,67108864,536870912,12832050535
"cx20",3,134217728,1073741824,13458791828
"cx20",3,268435456,2147483648,13942730749
"cx20",3,536870912,4294967296,15995165913
"cx20",3,1073741824,8589934592,19516452557
"cx20",3,2147483648,17179869184,22067026354
"cx20",3,4294967296,34359738368,24104288276
"cx20",3,8589934592,68719476736,24371446012
"cx20",4,128,1024,151440793
"cx20",4,256,2048,150738833
"cx20",4,512,4096,147756442
"cx20",4,1024,8192,147481225
"cx20",4,2048,16384,147520157
"cx20",4,4096,32768,148599838
"cx20",4,8192,65536,281141364
"cx20",4,16384,131072,343274026
"cx20",4,32768,262144,361233105
"cx20",4,65536,524288,565496595
"cx20",4,131072,1048576,947279245
"cx20",4,262144,2097152,1186574106
"cx20",4,524288,4194304,1285166096
"cx20",4,1048576,8388608,1335532220
"cx20",4,2097152,16777216,2153118912
"cx20",4,4194304,33554432,7569878625
"cx20",4,8388608,67108864,10094485836
"cx20",4,16777216,134217728,11462483532
"cx20",4,33554432,268435456,12350757873
"cx20",4,67108864,536870912,13006846964
"cx20",4,134217728,1073741824,13661047976
"cx20",4,268435456,2147483648,14177953469
"cx20",4,536870912,4294967296,16355248477
"cx20",4,1073741824,8589934592,19495177980
"cx20",4,2147483648,17179869184,21892893503
"cx20",4,4294967296,34359738368,23393891777
"cx20",4,8589934592,68719476736,24441228087
