MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"nx03",0,128,1024,131340730
"nx03",0,256,2048,128739264
"nx03",0,512,4096,128664606
"nx03",0,1024,8192,128583441
"nx03",0,2048,16384,128677238
"nx03",0,4096,32768,132011554
"nx03",0,8192,65536,251970939
"nx03",0,16384,131072,308342025
"nx03",0,32768,262144,334298067
"nx03",0,65536,524288,463989558
"nx03",0,131072,1048576,682789582
"nx03",0,262144,2097152,1398056822
"nx03",0,524288,4194304,1783754120
"nx03",0,1048576,8388608,2064705955
"nx03",0,2097152,16777216,2360564669
"nx03",0,4194304,33554432,3488454284
"nx03",0,8388608,67108864,7208529100
"nx03",0,16777216,134217728,8582351361
"nx03",0,33554432,268435456,8555197292
"nx03",0,67108864,536870912,10489144819
"nx03",0,134217728,1073741824,10996683879
"nx03",0,268435456,2147483648,11317353790
"nx03",0,536870912,4294967296,11584559746
"nx03",0,1073741824,8589934592,12336575822
"nx03",0,2147483648,17179869184,14412217531
"nx03",1,128,1024,128607746
"nx03",1,256,2048,128698959
"nx03",1,512,4096,128689275
"nx03",1,1024,8192,128577488
"nx03",1,2048,16384,128671712
"nx03",1,4096,32768,133224461
"nx03",1,8192,65536,255653873
"nx03",1,16384,131072,128698623
"nx03",1,32768,262144,335864172
"nx03",1,65536,524288,464152739
"nx03",1,131072,1048576,559866293
"nx03",1,262144,2097152,561977321
"nx03",1,524288,4194304,1780819623
"nx03",1,1048576,8388608,2061061029
"nx03",1,2097152,16777216,2399439050
"nx03",1,4194304,33554432,2656685901
"nx03",1,8388608,67108864,6519781109
"nx03",1,16777216,134217728,8619077622
"nx03",1,33554432,268435456,9678112476
"nx03",1,67108864,536870912,10492559557
"nx03",1,134217728,1073741824,11021705452
"nx03",1,268435456,2147483648,11314927570
"nx03",1,536870912,4294967296,11584972006
"nx03",1,1073741824,8589934592,12449289376
"nx03",1,2147483648,17179869184,14418947098
"nx03",2,128,1024,136444996
"nx03",2,256,2048,129108712
"nx03",2,512,4096,128583799
"nx03",2,1024,8192,128793918
"nx03",2,2048,16384,128650918
"nx03",2,4096,32768,133230117
"nx03",2,8192,65536,255118604
"nx03",2,16384,131072,308426313
"nx03",2,32768,262144,336323435
"nx03",2,65536,524288,465411991
"nx03",2,131072,1048576,768344019
"nx03",2,262144,2097152,397491838
"nx03",2,524288,4194304,1781498327
"nx03",2,1048576,8388608,2065714702
"nx03",2,2097152,16777216,2322409446
"nx03",2,4194304,33554432,4558252096
"nx03",2,8388608,67108864,7209611266
"nx03",2,16777216,134217728,8579795923
"nx03",2,33554432,268435456,9557876046
"nx03",2,67108864,536870912,10472066937
"nx03",2,134217728,1073741824,11015656238
"nx03",2,268435456,2147483648,11311892471
"nx03",2,536870912,4294967296,11598919080
"nx03",2,1073741824,8589934592,12279332818
"nx03",2,2147483648,17179869184,14484128966
"nx03",3,128,1024,128689290
"nx03",3,256,2048,128660609
"nx03",3,512,4096,128598715
"nx03",3,1024,8192,128673648
"nx03",3,2048,16384,128843836
"nx03",3,4096,32768,134420519
"nx03",3,8192,65536,128673761
"nx03",3,16384,131072,307983175
"nx03",3,32768,262144,335880403
"nx03",3,65536,524288,464030073
"nx03",3,131072,1048576,750700071
"nx03",3,262144,2097152,1397926853
"nx03",3,524288,4194304,1787601035
"nx03",3,1048576,8388608,2065610195
"nx03",3,2097152,16777216,2416798972
"nx03",3,4194304,33554432,4541671158
"nx03",3,8388608,67108864,6150461824
"nx03",3,16777216,134217728,8607052571
"nx03",3,33554432,268435456,9592556074
"nx03",3,67108864,536870912,10479303621
"nx03",3,134217728,1073741824,11020751192
"nx03",3,268435456,2147483648,11314939282
"nx03",3,536870912,4294967296,11614277254
"nx03",3,1073741824,8589934592,12155529543
"nx03",3,2147483648,17179869184,14361876924
"nx03",4,128,1024,128849708
"nx03",4,256,2048,128621444
"nx03",4,512,4096,128651249
"nx03",4,1024,8192,128711908
"nx03",4,2048,16384,128707576
"nx03",4,4096,32768,130361752
"nx03",4,8192,65536,254456920
"nx03",4,16384,131072,308551018
"nx03",4,32768,262144,336309527
"nx03",4,65536,524288,463570456
"nx03",4,131072,1048576,759872842
"nx03",4,262144,2097152,1402584591
"nx03",4,524288,4194304,1781203371
"nx03",4,1048576,8388608,2066248325
"nx03",4,2097152,16777216,2444026544
"nx03",4,4194304,33554432,4554141625
"nx03",4,8388608,67108864,7190515717
"nx03",4,16777216,134217728,8517026314
"nx03",4,33554432,268435456,9611353758
"nx03",4,67108864,536870912,10471202482
"nx03",4,134217728,1073741824,10995248526
"nx03",4,268435456,2147483648,11303547948
"nx03",4,536870912,4294967296,11583357055
"nx03",4,1073741824,8589934592,12192771572
"nx03",4,2147483648,17179869184,14459812518
