MACHINE,NAME,VECTOR_SIZE,LOCALITY,OFFSET,RUNTIME_S
"cx23","No Prefetching",4000000000,-1,1,0.699464
"cx23","No Prefetching",4000000000,-1,1,0.698705
"cx23","No Prefetching",4000000000,-1,1,0.702761
"cx23","No Prefetching",4000000000,-1,1,0.702291
"cx23","No Prefetching",4000000000,-1,1,0.700279
"cx23","No Prefetching",4000000000,-1,1,0.701294
"cx23","No Prefetching",4000000000,-1,1,0.700299
"cx23","No Prefetching",4000000000,-1,1,0.700366
"cx23","No Prefetching",4000000000,-1,1,0.777396
"cx23","No Prefetching",4000000000,-1,1,0.697749
"cx23","No Prefetching",4000000000,-1,1,0.702711
"cx23","No Prefetching",4000000000,-1,1,0.696986
"cx23","No Prefetching",4000000000,-1,1,0.701235
"cx23","No Prefetching",4000000000,-1,1,0.696123
"cx23","No Prefetching",4000000000,-1,1,0.697058
"cx23","No Prefetching",4000000000,-1,1,0.703133
"cx23","No Prefetching",4000000000,-1,1,0.701659
"cx23","No Prefetching",4000000000,-1,1,0.702799
"cx23","No Prefetching",4000000000,-1,1,0.698872
"cx23","No Prefetching",4000000000,-1,1,0.701512
"cx23","No Prefetching",4000000000,-1,1,0.697592
"cx23","No Prefetching",4000000000,-1,1,0.700964
"cx23","No Prefetching",4000000000,-1,1,0.704123
"cx23","No Prefetching",4000000000,-1,1,0.702196
"cx23","No Prefetching",4000000000,-1,1,0.817085
"cx23","No Prefetching",4000000000,-1,1,0.760101
"cx23","No Prefetching",4000000000,-1,1,0.74369
"cx23","No Prefetching",4000000000,-1,1,0.723188
"cx23","No Prefetching",4000000000,-1,1,0.708503
"cx23","No Prefetching",4000000000,-1,1,0.707864
"cx23","No Prefetching",4000000000,-1,1,0.700865
"cx23","No Prefetching",4000000000,-1,1,0.70276
"cx23","No Prefetching",4000000000,-1,1,0.705603
"cx23","No Prefetching",4000000000,-1,1,0.922189
"cx23","No Prefetching",4000000000,-1,1,0.801496
"cx23","No Prefetching",4000000000,-1,1,0.70537
"cx23","No Prefetching",4000000000,-1,1,0.781296
"cx23","No Prefetching",4000000000,-1,1,0.743606
"cx23","No Prefetching",4000000000,-1,1,0.716129
"cx23","No Prefetching",4000000000,-1,1,0.709715
"cx23","No Prefetching",4000000000,-1,1,0.793669
"cx23","No Prefetching",4000000000,-1,1,0.702659
"cx23","No Prefetching",4000000000,-1,1,0.701539
"cx23","No Prefetching",4000000000,-1,1,0.702057
"cx23","No Prefetching",4000000000,-1,1,0.70069
"cx23","No Prefetching",4000000000,-1,1,0.700639
"cx23","No Prefetching",4000000000,-1,1,0.69956
"cx23","No Prefetching",4000000000,-1,1,0.703457
"cx23","No Prefetching",4000000000,-1,1,0.70262
"cx23","No Prefetching",4000000000,-1,1,0.702345
"cx23","No Prefetching",4000000000,-1,2,0.699693
