MACHINE,NAME,VECTOR_SIZE,LOCALITY,OFFSET,RUNTIME_S
"nx06","No Prefetching",4000000000,-1,1,0.242843
"nx06","No Prefetching",4000000000,-1,1,0.242766
"nx06","No Prefetching",4000000000,-1,1,0.242905
"nx06","No Prefetching",4000000000,-1,1,0.242783
"nx06","No Prefetching",4000000000,-1,1,0.242908
"nx06","No Prefetching",4000000000,-1,1,0.263498
"nx06","No Prefetching",4000000000,-1,1,0.243037
"nx06","No Prefetching",4000000000,-1,1,0.242832
"nx06","No Prefetching",4000000000,-1,1,0.24271
"nx06","No Prefetching",4000000000,-1,1,0.242978
"nx06","No Prefetching",4000000000,-1,1,0.24283
"nx06","No Prefetching",4000000000,-1,1,0.242774
"nx06","No Prefetching",4000000000,-1,1,0.242944
"nx06","No Prefetching",4000000000,-1,1,0.24298
"nx06","No Prefetching",4000000000,-1,1,0.242806
"nx06","No Prefetching",4000000000,-1,1,0.242722
"nx06","No Prefetching",4000000000,-1,1,0.242686
"nx06","No Prefetching",4000000000,-1,1,0.242839
"nx06","No Prefetching",4000000000,-1,1,0.242624
"nx06","No Prefetching",4000000000,-1,1,0.242798
"nx06","No Prefetching",4000000000,-1,1,0.242984
"nx06","No Prefetching",4000000000,-1,1,0.242735
"nx06","No Prefetching",4000000000,-1,1,0.242993
"nx06","No Prefetching",4000000000,-1,1,0.242976
"nx06","No Prefetching",4000000000,-1,1,0.242986
"nx06","No Prefetching",4000000000,-1,1,0.242877
"nx06","No Prefetching",4000000000,-1,1,0.242729
"nx06","No Prefetching",4000000000,-1,1,0.243005
"nx06","No Prefetching",4000000000,-1,1,0.242695
"nx06","No Prefetching",4000000000,-1,1,0.242849
"nx06","No Prefetching",4000000000,-1,1,0.242935
"nx06","No Prefetching",4000000000,-1,1,0.24284
"nx06","No Prefetching",4000000000,-1,1,0.228419
"nx06","No Prefetching",4000000000,-1,1,0.22859
"nx06","No Prefetching",4000000000,-1,1,0.228436
"nx06","No Prefetching",4000000000,-1,1,0.228327
"nx06","No Prefetching",4000000000,-1,1,0.228329
"nx06","No Prefetching",4000000000,-1,1,0.228272
"nx06","No Prefetching",4000000000,-1,1,0.22826
"nx06","No Prefetching",4000000000,-1,1,0.228335
"nx06","No Prefetching",4000000000,-1,1,0.228382
"nx06","No Prefetching",4000000000,-1,1,0.228192
"nx06","No Prefetching",4000000000,-1,1,0.228385
"nx06","No Prefetching",4000000000,-1,1,0.228385
"nx06","No Prefetching",4000000000,-1,1,0.228261
"nx06","No Prefetching",4000000000,-1,1,0.228403
"nx06","No Prefetching",4000000000,-1,1,0.228329
"nx06","No Prefetching",4000000000,-1,1,0.228415
"nx06","No Prefetching",4000000000,-1,1,0.228349
"nx06","No Prefetching",4000000000,-1,1,0.228354
"nx06","No Prefetching",4000000000,-1,2,0.242826
"nx06","No Prefetching",4000000000,-1,2,0.242759
"nx06","No Prefetching",4000000000,-1,2,0.242776
"nx06","No Prefetching",4000000000,-1,2,0.242627
"nx06","No Prefetching",4000000000,-1,2,0.242809
"nx06","No Prefetching",4000000000,-1,2,0.242832
"nx06","No Prefetching",4000000000,-1,2,0.242742
"nx06","No Prefetching",4000000000,-1,2,0.242724
"nx06","No Prefetching",4000000000,-1,2,0.242685
"nx06","No Prefetching",4000000000,-1,2,0.242814
"nx06","No Prefetching",4000000000,-1,2,0.242827
"nx06","No Prefetching",4000000000,-1,2,0.242701
"nx06","No Prefetching",4000000000,-1,2,0.242784
"nx06","No Prefetching",4000000000,-1,2,0.242669
"nx06","No Prefetching",4000000000,-1,2,0.242636
"nx06","No Prefetching",4000000000,-1,2,0.242618
"nx06","No Prefetching",4000000000,-1,2,0.242685
"nx06","No Prefetching",4000000000,-1,2,0.24266
"nx06","No Prefetching",4000000000,-1,2,0.242655
"nx06","No Prefetching",4000000000,-1,2,0.242716
"nx06","No Prefetching",4000000000,-1,2,0.242634
"nx06","No Prefetching",4000000000,-1,2,0.24273
"nx06","No Prefetching",4000000000,-1,2,0.242685
"nx06","No Prefetching",4000000000,-1,2,0.242851
"nx06","No Prefetching",4000000000,-1,2,0.242704
"nx06","No Prefetching",4000000000,-1,2,0.24271
"nx06","No Prefetching",4000000000,-1,2,0.242572
"nx06","No Prefetching",4000000000,-1,2,0.242799
"nx06","No Prefetching",4000000000,-1,2,0.242626
"nx06","No Prefetching",4000000000,-1,2,0.24285
"nx06","No Prefetching",4000000000,-1,2,0.242866
"nx06","No Prefetching",4000000000,-1,2,0.242593
"nx06","No Prefetching",4000000000,-1,2,0.228167
"nx06","No Prefetching",4000000000,-1,2,0.228401
"nx06","No Prefetching",4000000000,-1,2,0.228259
"nx06","No Prefetching",4000000000,-1,2,0.228106
"nx06","No Prefetching",4000000000,-1,2,0.228104
"nx06","No Prefetching",4000000000,-1,2,0.228121
"nx06","No Prefetching",4000000000,-1,2,0.228129
"nx06","No Prefetching",4000000000,-1,2,0.228147
"nx06","No Prefetching",4000000000,-1,2,0.228284
"nx06","No Prefetching",4000000000,-1,2,0.228249
"nx06","No Prefetching",4000000000,-1,2,0.22846
"nx06","No Prefetching",4000000000,-1,2,0.228327
"nx06","No Prefetching",4000000000,-1,2,0.22827
"nx06","No Prefetching",4000000000,-1,2,0.228355
"nx06","No Prefetching",4000000000,-1,2,0.228136
"nx06","No Prefetching",4000000000,-1,2,0.228441
"nx06","No Prefetching",4000000000,-1,2,0.228216
"nx06","No Prefetching",4000000000,-1,2,0.228277
"nx06","No Prefetching",4000000000,-1,4,0.242926
"nx06","No Prefetching",4000000000,-1,4,0.242616
"nx06","No Prefetching",4000000000,-1,4,0.242782
"nx06","No Prefetching",4000000000,-1,4,0.242576
"nx06","No Prefetching",4000000000,-1,4,0.24285
"nx06","No Prefetching",4000000000,-1,4,0.242808
"nx06","No Prefetching",4000000000,-1,4,0.242729
"nx06","No Prefetching",4000000000,-1,4,0.242868
"nx06","No Prefetching",4000000000,-1,4,0.242453
"nx06","No Prefetching",4000000000,-1,4,0.242904
"nx06","No Prefetching",4000000000,-1,4,0.242765
"nx06","No Prefetching",4000000000,-1,4,0.242671
"nx06","No Prefetching",4000000000,-1,4,0.242732
"nx06","No Prefetching",4000000000,-1,4,0.242686
"nx06","No Prefetching",4000000000,-1,4,0.242586
"nx06","No Prefetching",4000000000,-1,4,0.242522
"nx06","No Prefetching",4000000000,-1,4,0.242614
"nx06","No Prefetching",4000000000,-1,4,0.242685
"nx06","No Prefetching",4000000000,-1,4,0.242469
"nx06","No Prefetching",4000000000,-1,4,0.24279
"nx06","No Prefetching",4000000000,-1,4,0.242716
"nx06","No Prefetching",4000000000,-1,4,0.242712
"nx06","No Prefetching",4000000000,-1,4,0.242599
