CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,21.475779999999997
1,Parallel std::sort,250000,27.526779999999995
2,Parallel std::sort,250000,13.8148
3,Parallel std::sort,250000,9.547934000000001
4,Parallel std::sort,250000,6.971652000000001
5,Parallel std::sort,250000,5.520332
6,Parallel std::sort,250000,4.60647
7,Parallel std::sort,250000,3.980936
8,Parallel std::sort,250000,3.47759
9,Parallel std::sort,250000,3.0959900000000005
10,Parallel std::sort,250000,2.7866980000000003
12,Parallel std::sort,250000,2.338336
16,Parallel std::sort,250000,1.7723099999999998
20,Parallel std::sort,250000,1.4357140000000002
24,Parallel std::sort,250000,1.212264
28,Parallel std::sort,250000,1.194054
