CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,18.99792
1,Sequential std::sort,4000000,351.8284
1,Parallel std::sort,250000,18.999119999999998
2,Parallel std::sort,250000,10.055719999999999
3,Parallel std::sort,250000,6.712368
4,Parallel std::sort,250000,5.209912
5,Parallel std::sort,250000,4.46313
6,Parallel std::sort,250000,3.8240419999999995
7,Parallel std::sort,250000,3.3394019999999998
8,Parallel std::sort,250000,2.9334040000000003
9,Parallel std::sort,250000,2.46832
10,Parallel std::sort,250000,2.542112
12,Parallel std::sort,250000,2.03167
16,Parallel std::sort,250000,1.990062
20,Parallel std::sort,250000,1.613428
24,Parallel std::sort,250000,1.36913
28,Parallel std::sort,250000,1.282278
32,Parallel std::sort,250000,1.108168
36,Parallel std::sort,250000,1.0054022
40,Parallel std::sort,250000,0.9468904
44,Parallel std::sort,250000,0.928857
48,Parallel std::sort,250000,0.7492802
52,Parallel std::sort,250000,0.9305336000000001
56,Parallel std::sort,250000,0.8989242000000001
60,Parallel std::sort,250000,0.8508692
64,Parallel std::sort,250000,0.7666091999999999
68,Parallel std::sort,250000,0.7511336
72,Parallel std::sort,250000,0.7582853999999999
76,Parallel std::sort,250000,0.6968102
80,Parallel std::sort,250000,0.6424016
84,Parallel std::sort,250000,0.6147894
88,Parallel std::sort,250000,0.5997812
92,Parallel std::sort,250000,0.5714995999999999
96,Parallel std::sort,250000,0.5412049999999999
1,Parallel std::sort,4000000,351.82259999999997
2,Parallel std::sort,4000000,182.9206
3,Parallel std::sort,4000000,123.39059999999999
4,Parallel std::sort,4000000,92.15178
5,Parallel std::sort,4000000,76.7716
6,Parallel std::sort,4000000,65.08174
7,Parallel std::sort,4000000,56.17712
8,Parallel std::sort,4000000,49.22422
9,Parallel std::sort,4000000,44.011520000000004
10,Parallel std::sort,4000000,39.9666
12,Parallel std::sort,4000000,33.870259999999995
16,Parallel std::sort,4000000,26.326060000000002
20,Parallel std::sort,4000000,22.475479999999997
24,Parallel std::sort,4000000,19.7043
28,Parallel std::sort,4000000,17.63138
32,Parallel std::sort,4000000,15.60908
36,Parallel std::sort,4000000,14.206479999999999
40,Parallel std::sort,4000000,12.815539999999999
44,Parallel std::sort,4000000,11.93134
48,Parallel std::sort,4000000,10.94548
52,Parallel std::sort,4000000,12.26072
56,Parallel std::sort,4000000,11.362460000000002
60,Parallel std::sort,4000000,10.898460000000002
64,Parallel std::sort,4000000,10.53646
68,Parallel std::sort,4000000,10.247776
72,Parallel std::sort,4000000,9.788866
76,Parallel std::sort,4000000,9.495425999999998
80,Parallel std::sort,4000000,9.052451999999999
84,Parallel std::sort,4000000,8.604235999999998
88,Parallel std::sort,4000000,8.532386
92,Parallel std::sort,4000000,8.261854
96,Parallel std::sort,4000000,7.838614
