CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,22.3236
1,Sequential std::sort,4000000,376.0074
1,Parallel std::sort,250000,22.33794
2,Parallel std::sort,250000,12.683420000000002
3,Parallel std::sort,250000,8.63549
4,Parallel std::sort,250000,6.521814000000001
5,Parallel std::sort,250000,5.485217999999999
6,Parallel std::sort,250000,4.583634
7,Parallel std::sort,250000,4.0008740000000005
8,Parallel std::sort,250000,3.459278
9,Parallel std::sort,250000,3.0811859999999998
10,Parallel std::sort,250000,2.780116
12,Parallel std::sort,250000,2.39296
16,Parallel std::sort,250000,1.938606
20,Parallel std::sort,250000,1.6732779999999998
24,Parallel std::sort,250000,1.717446
28,Parallel std::sort,250000,1.6854799999999996
32,Parallel std::sort,250000,1.4869439999999998
36,Parallel std::sort,250000,1.4499179999999998
40,Parallel std::sort,250000,1.400732
44,Parallel std::sort,250000,1.299372
48,Parallel std::sort,250000,1.139586
52,Parallel std::sort,250000,1.099886
56,Parallel std::sort,250000,1.0615545999999998
60,Parallel std::sort,250000,1.0285392
64,Parallel std::sort,250000,1.0112549999999998
68,Parallel std::sort,250000,0.9253978
72,Parallel std::sort,250000,0.8683603999999999
1,Parallel std::sort,4000000,375.54200000000003
2,Parallel std::sort,4000000,206.9538
3,Parallel std::sort,4000000,140.99859999999998
4,Parallel std::sort,4000000,106.89080000000001
5,Parallel std::sort,4000000,88.37366
6,Parallel std::sort,4000000,74.06192000000001
7,Parallel std::sort,4000000,63.99162
8,Parallel std::sort,4000000,55.720479999999995
9,Parallel std::sort,4000000,49.624939999999995
10,Parallel std::sort,4000000,44.98102
12,Parallel std::sort,4000000,38.450599999999994
16,Parallel std::sort,4000000,13.376184
20,Parallel std::sort,4000000,1.685144
24,Parallel std::sort,4000000,1.8149419999999998
28,Parallel std::sort,4000000,1.7151420000000002
32,Parallel std::sort,4000000,1.5721820000000002
36,Parallel std::sort,4000000,1.336104
40,Parallel std::sort,4000000,1.301498
44,Parallel std::sort,4000000,1.297664
48,Parallel std::sort,4000000,1.306476
52,Parallel std::sort,4000000,1.179486
56,Parallel std::sort,4000000,1.08041
60,Parallel std::sort,4000000,1.012988
64,Parallel std::sort,4000000,0.9859496
68,Parallel std::sort,4000000,0.9645938
72,Parallel std::sort,4000000,0.9701408
