CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,25.943820000000006
1,Sequential std::sort,4000000,480.3092
1,Parallel std::sort,250000,25.948379999999997
2,Parallel std::sort,250000,14.091239999999999
3,Parallel std::sort,250000,10.106200000000001
4,Parallel std::sort,250000,7.802795999999999
5,Parallel std::sort,250000,6.8160359999999995
6,Parallel std::sort,250000,5.745082000000001
7,Parallel std::sort,250000,5.015788
8,Parallel std::sort,250000,4.3317000000000005
9,Parallel std::sort,250000,3.8854840000000004
10,Parallel std::sort,250000,3.5103299999999997
12,Parallel std::sort,250000,2.9836219999999996
16,Parallel std::sort,250000,2.302604
20,Parallel std::sort,250000,2.186006
24,Parallel std::sort,250000,2.3483259999999997
28,Parallel std::sort,250000,2.112176
32,Parallel std::sort,250000,2.006756
36,Parallel std::sort,250000,2.1031400000000002
40,Parallel std::sort,250000,1.7370480000000001
44,Parallel std::sort,250000,1.6176920000000004
48,Parallel std::sort,250000,1.5048939999999997
52,Parallel std::sort,250000,1.558232
56,Parallel std::sort,250000,1.3774479999999998
60,Parallel std::sort,250000,1.2300039999999999
64,Parallel std::sort,250000,1.2150284
68,Parallel std::sort,250000,1.18079
72,Parallel std::sort,250000,1.118064
76,Parallel std::sort,250000,1.107332
80,Parallel std::sort,250000,0.9916617999999999
84,Parallel std::sort,250000,1.19516
88,Parallel std::sort,250000,1.0736976
92,Parallel std::sort,250000,1.0104161999999999
96,Parallel std::sort,250000,1.059398
100,Parallel std::sort,250000,1.1332738
104,Parallel std::sort,250000,0.9899082
108,Parallel std::sort,250000,1.0978218
112,Parallel std::sort,250000,1.0077159999999998
116,Parallel std::sort,250000,1.0122038
120,Parallel std::sort,250000,0.9268468000000001
124,Parallel std::sort,250000,0.9065179999999999
128,Parallel std::sort,250000,0.9347172
1,Parallel std::sort,4000000,480.2574000000001
2,Parallel std::sort,4000000,259.78419999999994
3,Parallel std::sort,4000000,184.5838
4,Parallel std::sort,4000000,142.2886
5,Parallel std::sort,4000000,121.7758
6,Parallel std::sort,4000000,101.96100000000001
7,Parallel std::sort,4000000,87.70536000000001
8,Parallel std::sort,4000000,76.20606000000001
9,Parallel std::sort,4000000,68.42479999999999
10,Parallel std::sort,4000000,61.825379999999996
12,Parallel std::sort,4000000,52.04997999999999
16,Parallel std::sort,4000000,39.29974
20,Parallel std::sort,4000000,38.38974
24,Parallel std::sort,4000000,31.617720000000002
28,Parallel std::sort,4000000,29.82212
32,Parallel std::sort,4000000,25.403979999999997
36,Parallel std::sort,4000000,31.86732
40,Parallel std::sort,4000000,27.490820000000003
44,Parallel std::sort,4000000,23.8814
48,Parallel std::sort,4000000,19.5515
52,Parallel std::sort,4000000,23.7369
56,Parallel std::sort,4000000,21.0416
60,Parallel std::sort,4000000,19.2144
64,Parallel std::sort,4000000,16.07036
68,Parallel std::sort,4000000,17.7691
72,Parallel std::sort,4000000,18.16482
76,Parallel std::sort,4000000,17.119279999999996
80,Parallel std::sort,4000000,16.612740000000002
84,Parallel std::sort,4000000,16.59152
88,Parallel std::sort,4000000,15.500559999999998
92,Parallel std::sort,4000000,15.40606
96,Parallel std::sort,4000000,15.948940000000002
100,Parallel std::sort,4000000,14.47102
104,Parallel std::sort,4000000,14.10496
108,Parallel std::sort,4000000,13.48552
112,Parallel std::sort,4000000,13.84314
116,Parallel std::sort,4000000,12.65734
120,Parallel std::sort,4000000,12.2865
124,Parallel std::sort,4000000,12.2345
128,Parallel std::sort,4000000,11.376999999999999
