CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,20.687099999999997
1,Sequential std::sort,4000000,384.3582
1,Parallel std::sort,250000,20.680799999999998
2,Parallel std::sort,250000,11.0739
3,Parallel std::sort,250000,7.329390000000001
4,Parallel std::sort,250000,5.498018
5,Parallel std::sort,250000,4.742244000000001
6,Parallel std::sort,250000,3.979428
7,Parallel std::sort,250000,3.473144
8,Parallel std::sort,250000,3.006746
9,Parallel std::sort,250000,2.796594
10,Parallel std::sort,250000,2.6308160000000003
12,Parallel std::sort,250000,2.073304
16,Parallel std::sort,250000,1.6182499999999997
20,Parallel std::sort,250000,1.4605920000000001
24,Parallel std::sort,250000,1.2557440000000002
28,Parallel std::sort,250000,1.2056419999999999
32,Parallel std::sort,250000,1.1735852
36,Parallel std::sort,250000,1.0002559999999998
40,Parallel std::sort,250000,0.9636222
44,Parallel std::sort,250000,0.9058108
48,Parallel std::sort,250000,0.828989
52,Parallel std::sort,250000,0.8400242
56,Parallel std::sort,250000,0.7799064
60,Parallel std::sort,250000,0.8492265999999999
64,Parallel std::sort,250000,0.7258336000000001
68,Parallel std::sort,250000,0.869974
72,Parallel std::sort,250000,0.8406888
76,Parallel std::sort,250000,0.712681
80,Parallel std::sort,250000,0.7815479999999999
84,Parallel std::sort,250000,0.7334486
88,Parallel std::sort,250000,0.7314938
92,Parallel std::sort,250000,0.7139184000000001
96,Parallel std::sort,250000,0.6937464
100,Parallel std::sort,250000,0.6688444
104,Parallel std::sort,250000,0.6684633999999999
108,Parallel std::sort,250000,0.6416843999999999
112,Parallel std::sort,250000,0.6512194
116,Parallel std::sort,250000,0.6115767999999999
120,Parallel std::sort,250000,0.6153368
124,Parallel std::sort,250000,0.5799674
128,Parallel std::sort,250000,0.6284460000000001
132,Parallel std::sort,250000,0.5866125999999999
136,Parallel std::sort,250000,0.5901872
140,Parallel std::sort,250000,0.575692
144,Parallel std::sort,250000,0.5607608
148,Parallel std::sort,250000,0.5728058
152,Parallel std::sort,250000,0.5470200000000001
156,Parallel std::sort,250000,0.566689
160,Parallel std::sort,250000,0.5498886000000001
164,Parallel std::sort,250000,0.5073844000000001
168,Parallel std::sort,250000,0.5443878
172,Parallel std::sort,250000,0.5655051999999999
176,Parallel std::sort,250000,0.5383034
180,Parallel std::sort,250000,0.5164136
184,Parallel std::sort,250000,0.5072622
188,Parallel std::sort,250000,0.5069736
192,Parallel std::sort,250000,0.4863904
196,Parallel std::sort,250000,0.5255274
200,Parallel std::sort,250000,0.525248
204,Parallel std::sort,250000,0.53373
208,Parallel std::sort,250000,0.5431192
212,Parallel std::sort,250000,0.4865964
216,Parallel std::sort,250000,0.5339784
220,Parallel std::sort,250000,0.5179008
224,Parallel std::sort,250000,0.503
1,Parallel std::sort,4000000,384.2884
2,Parallel std::sort,4000000,198.75099999999998
3,Parallel std::sort,4000000,132.8708
4,Parallel std::sort,4000000,98.69895999999999
5,Parallel std::sort,4000000,81.90322
6,Parallel std::sort,4000000,69.2585
7,Parallel std::sort,4000000,59.701080000000005
8,Parallel std::sort,4000000,51.951679999999996
9,Parallel std::sort,4000000,46.56626
10,Parallel std::sort,4000000,42.0542
12,Parallel std::sort,4000000,35.38440000000001
16,Parallel std::sort,4000000,27.17308
20,Parallel std::sort,4000000,22.15754
24,Parallel std::sort,4000000,18.874159999999996
28,Parallel std::sort,4000000,17.64172
32,Parallel std::sort,4000000,15.87978
36,Parallel std::sort,4000000,14.931799999999999
40,Parallel std::sort,4000000,14.3736
44,Parallel std::sort,4000000,13.710999999999999
48,Parallel std::sort,4000000,12.746619999999998
52,Parallel std::sort,4000000,12.292660000000001
56,Parallel std::sort,4000000,11.645639999999998
60,Parallel std::sort,4000000,11.14874
64,Parallel std::sort,4000000,10.721699999999998
68,Parallel std::sort,4000000,10.20788
72,Parallel std::sort,4000000,9.89382
76,Parallel std::sort,4000000,9.574354
80,Parallel std::sort,4000000,9.229964
84,Parallel std::sort,4000000,8.903278
88,Parallel std::sort,4000000,8.732516
92,Parallel std::sort,4000000,8.534106
96,Parallel std::sort,4000000,8.15761
100,Parallel std::sort,4000000,8.037926
104,Parallel std::sort,4000000,7.765794
108,Parallel std::sort,4000000,7.688371999999999
112,Parallel std::sort,4000000,7.499082
116,Parallel std::sort,4000000,8.103425999999999
120,Parallel std::sort,4000000,7.868392
124,Parallel std::sort,4000000,7.8353980000000005
128,Parallel std::sort,4000000,7.610124000000001
132,Parallel std::sort,4000000,7.52529
136,Parallel std::sort,4000000,7.417282
140,Parallel std::sort,4000000,7.687892
144,Parallel std::sort,4000000,7.378568
148,Parallel std::sort,4000000,7.367008
152,Parallel std::sort,4000000,7.399030000000001
156,Parallel std::sort,4000000,7.077722
160,Parallel std::sort,4000000,7.0191
164,Parallel std::sort,4000000,7.050211999999999
168,Parallel std::sort,4000000,6.99521
172,Parallel std::sort,4000000,6.954846000000001
176,Parallel std::sort,4000000,6.794579999999999
180,Parallel std::sort,4000000,6.730166
184,Parallel std::sort,4000000,6.649158
188,Parallel std::sort,4000000,6.554397999999999
192,Parallel std::sort,4000000,6.6356139999999995
196,Parallel std::sort,4000000,6.382172
200,Parallel std::sort,4000000,6.250936
204,Parallel std::sort,4000000,6.2771419999999996
208,Parallel std::sort,4000000,6.120622
212,Parallel std::sort,4000000,6.09768
216,Parallel std::sort,4000000,6.212948
220,Parallel std::sort,4000000,6.023058000000001
224,Parallel std::sort,4000000,6.110456000000001
