CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,22.7331
1,Sequential std::sort,4000000,386.021
1,Parallel std::sort,250000,28.932939999999995
2,Parallel std::sort,250000,15.74108
3,Parallel std::sort,250000,10.37102
4,Parallel std::sort,250000,8.011114000000001
5,Parallel std::sort,250000,6.4045380000000005
6,Parallel std::sort,250000,5.363487999999999
7,Parallel std::sort,250000,4.599932000000001
8,Parallel std::sort,250000,4.03342
9,Parallel std::sort,250000,3.614038
10,Parallel std::sort,250000,3.2575059999999993
12,Parallel std::sort,250000,2.733476
16,Parallel std::sort,250000,2.084734
20,Parallel std::sort,250000,1.7807780000000002
24,Parallel std::sort,250000,1.543918
28,Parallel std::sort,250000,1.345678
32,Parallel std::sort,250000,1.265742
36,Parallel std::sort,250000,1.1371220000000002
40,Parallel std::sort,250000,1.046416
44,Parallel std::sort,250000,1.0295492
48,Parallel std::sort,250000,1.0007481999999999
52,Parallel std::sort,250000,0.9445723999999999
56,Parallel std::sort,250000,0.8952804000000001
60,Parallel std::sort,250000,0.9341782000000001
64,Parallel std::sort,250000,0.9192786
68,Parallel std::sort,250000,0.7903208
72,Parallel std::sort,250000,0.8132010000000001
76,Parallel std::sort,250000,0.8361414
80,Parallel std::sort,250000,0.8899482000000001
84,Parallel std::sort,250000,0.9672620000000001
88,Parallel std::sort,250000,1.634146
92,Parallel std::sort,250000,1.711318
96,Parallel std::sort,250000,1.865268
100,Parallel std::sort,250000,2.006966
104,Parallel std::sort,250000,1.995608
108,Parallel std::sort,250000,2.166308
112,Parallel std::sort,250000,2.302892
116,Parallel std::sort,250000,2.227422
120,Parallel std::sort,250000,2.29596
124,Parallel std::sort,250000,2.558502
128,Parallel std::sort,250000,2.435288
132,Parallel std::sort,250000,2.732456
136,Parallel std::sort,250000,2.625124
140,Parallel std::sort,250000,2.6162300000000003
144,Parallel std::sort,250000,2.5716119999999996
148,Parallel std::sort,250000,2.646266
152,Parallel std::sort,250000,2.5101579999999997
156,Parallel std::sort,250000,2.762518
160,Parallel std::sort,250000,2.944224
164,Parallel std::sort,250000,2.807144
168,Parallel std::sort,250000,2.5714360000000003
172,Parallel std::sort,250000,2.77688
176,Parallel std::sort,250000,2.9780119999999997
180,Parallel std::sort,250000,3.0746080000000005
184,Parallel std::sort,250000,3.0105820000000003
188,Parallel std::sort,250000,2.90149
192,Parallel std::sort,250000,2.86461
196,Parallel std::sort,250000,2.941954
200,Parallel std::sort,250000,2.688978
204,Parallel std::sort,250000,2.938282
208,Parallel std::sort,250000,2.8969300000000002
212,Parallel std::sort,250000,3.108316
216,Parallel std::sort,250000,3.03366
220,Parallel std::sort,250000,2.999988
224,Parallel std::sort,250000,3.199926
1,Parallel std::sort,4000000,532.583
2,Parallel std::sort,4000000,293.41900000000004
3,Parallel std::sort,4000000,194.45499999999998
4,Parallel std::sort,4000000,148.1944
5,Parallel std::sort,4000000,118.0284
6,Parallel std::sort,4000000,98.4759
7,Parallel std::sort,4000000,83.93718
8,Parallel std::sort,4000000,73.47018
9,Parallel std::sort,4000000,65.61764
10,Parallel std::sort,4000000,59.038059999999994
12,Parallel std::sort,4000000,49.36126
16,Parallel std::sort,4000000,37.430580000000006
20,Parallel std::sort,4000000,31.787260000000003
24,Parallel std::sort,4000000,27.490220000000004
28,Parallel std::sort,4000000,24.1827
32,Parallel std::sort,4000000,21.722839999999998
36,Parallel std::sort,4000000,19.5794
40,Parallel std::sort,4000000,18.09966
44,Parallel std::sort,4000000,17.06396
48,Parallel std::sort,4000000,16.51508
52,Parallel std::sort,4000000,16.286839999999998
56,Parallel std::sort,4000000,15.666300000000001
60,Parallel std::sort,4000000,14.52022
64,Parallel std::sort,4000000,13.605
68,Parallel std::sort,4000000,12.975560000000002
72,Parallel std::sort,4000000,12.68464
76,Parallel std::sort,4000000,13.052959999999999
80,Parallel std::sort,4000000,13.522480000000002
84,Parallel std::sort,4000000,14.672799999999999
88,Parallel std::sort,4000000,17.29338
92,Parallel std::sort,4000000,20.02502
96,Parallel std::sort,4000000,21.939700000000002
100,Parallel std::sort,4000000,24.413760000000003
104,Parallel std::sort,4000000,24.48656
108,Parallel std::sort,4000000,22.9321
112,Parallel std::sort,4000000,22.04662
116,Parallel std::sort,4000000,20.120399999999997
120,Parallel std::sort,4000000,21.006880000000002
124,Parallel std::sort,4000000,21.53564
128,Parallel std::sort,4000000,22.211660000000002
132,Parallel std::sort,4000000,23.5426
136,Parallel std::sort,4000000,23.274620000000002
140,Parallel std::sort,4000000,22.53372
144,Parallel std::sort,4000000,23.40388
148,Parallel std::sort,4000000,22.87002
152,Parallel std::sort,4000000,24.907419999999995
156,Parallel std::sort,4000000,25.379020000000004
160,Parallel std::sort,4000000,25.1428
164,Parallel std::sort,4000000,26.11186
168,Parallel std::sort,4000000,28.06458
172,Parallel std::sort,4000000,27.10738
176,Parallel std::sort,4000000,26.365199999999998
180,Parallel std::sort,4000000,28.59094
184,Parallel std::sort,4000000,29.95458
188,Parallel std::sort,4000000,31.417099999999998
192,Parallel std::sort,4000000,31.608719999999998
196,Parallel std::sort,4000000,34.44032
200,Parallel std::sort,4000000,31.668200000000002
204,Parallel std::sort,4000000,32.8929
208,Parallel std::sort,4000000,32.7487
212,Parallel std::sort,4000000,34.960359999999994
216,Parallel std::sort,4000000,37.19622
220,Parallel std::sort,4000000,36.260400000000004
224,Parallel std::sort,4000000,35.172399999999996
