CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,22.366539999999997
1,Sequential std::sort,4000000,376.1078
1,Parallel std::sort,250000,22.37422
2,Parallel std::sort,250000,12.6265
3,Parallel std::sort,250000,8.644014
4,Parallel std::sort,250000,6.5150120000000005
5,Parallel std::sort,250000,5.470496
6,Parallel std::sort,250000,4.583392000000001
7,Parallel std::sort,250000,3.998228
8,Parallel std::sort,250000,3.459948
9,Parallel std::sort,250000,3.0838
10,Parallel std::sort,250000,2.7785640000000003
12,Parallel std::sort,250000,2.3939320000000004
16,Parallel std::sort,250000,1.919782
20,Parallel std::sort,250000,1.636298
24,Parallel std::sort,250000,1.904264
28,Parallel std::sort,250000,1.7297740000000001
32,Parallel std::sort,250000,1.483806
36,Parallel std::sort,250000,1.376546
40,Parallel std::sort,250000,1.336028
44,Parallel std::sort,250000,1.160728
48,Parallel std::sort,250000,1.21791
52,Parallel std::sort,250000,1.082724
56,Parallel std::sort,250000,1.13429
60,Parallel std::sort,250000,1.0135002
64,Parallel std::sort,250000,0.9380818
68,Parallel std::sort,250000,0.9375664
72,Parallel std::sort,250000,0.8708098
1,Parallel std::sort,4000000,375.83779999999996
2,Parallel std::sort,4000000,205.03359999999998
3,Parallel std::sort,4000000,140.46020000000001
4,Parallel std::sort,4000000,106.34079999999999
5,Parallel std::sort,4000000,88.23118000000001
6,Parallel std::sort,4000000,73.62016
7,Parallel std::sort,4000000,63.56594
8,Parallel std::sort,4000000,55.50362
9,Parallel std::sort,4000000,49.38714
10,Parallel std::sort,4000000,44.74904
12,Parallel std::sort,4000000,38.40444
16,Parallel std::sort,4000000,30.489800000000002
20,Parallel std::sort,4000000,28.48474
24,Parallel std::sort,4000000,24.48314
28,Parallel std::sort,4000000,23.01904
32,Parallel std::sort,4000000,21.417399999999997
36,Parallel std::sort,4000000,17.56658
40,Parallel std::sort,4000000,18.44648
44,Parallel std::sort,4000000,17.498720000000002
48,Parallel std::sort,4000000,16.6226
52,Parallel std::sort,4000000,16.18184
56,Parallel std::sort,4000000,14.988139999999998
60,Parallel std::sort,4000000,13.78614
64,Parallel std::sort,4000000,13.382859999999999
68,Parallel std::sort,4000000,12.37242
72,Parallel std::sort,4000000,11.83294
