CORE_COUNT,SORT_VARIANT,DATASET_SIZE,AVG_RUNTIME_S
1,Sequential std::sort,250000,24.072180000000003
1,Sequential std::sort,4000000,466.10519999999997
1,Parallel std::sort,250000,34.10238
2,Parallel std::sort,250000,18.0889
3,Parallel std::sort,250000,12.278839999999999
4,Parallel std::sort,250000,9.141068
5,Parallel std::sort,250000,7.341886000000001
6,Parallel std::sort,250000,6.129724
7,Parallel std::sort,250000,5.28692
8,Parallel std::sort,250000,4.6436779999999995
9,Parallel std::sort,250000,4.14299
10,Parallel std::sort,250000,3.749514
12,Parallel std::sort,250000,3.1492139999999997
16,Parallel std::sort,250000,2.406358
20,Parallel std::sort,250000,1.9945479999999995
24,Parallel std::sort,250000,1.731992
28,Parallel std::sort,250000,1.604708
32,Parallel std::sort,250000,1.43473
36,Parallel std::sort,250000,1.37218
40,Parallel std::sort,250000,1.336932
44,Parallel std::sort,250000,1.270936
48,Parallel std::sort,250000,1.24253
52,Parallel std::sort,250000,1.2082860000000002
56,Parallel std::sort,250000,1.1773419999999999
60,Parallel std::sort,250000,1.1687720000000001
64,Parallel std::sort,250000,1.16288
68,Parallel std::sort,250000,1.177496
72,Parallel std::sort,250000,1.1779639999999998
76,Parallel std::sort,250000,1.149294
80,Parallel std::sort,250000,1.191526
84,Parallel std::sort,250000,1.18282
88,Parallel std::sort,250000,1.200326
92,Parallel std::sort,250000,1.222242
96,Parallel std::sort,250000,1.218156
100,Parallel std::sort,250000,1.211368
104,Parallel std::sort,250000,1.2477800000000001
108,Parallel std::sort,250000,1.2543859999999998
112,Parallel std::sort,250000,1.2636120000000002
116,Parallel std::sort,250000,1.257432
120,Parallel std::sort,250000,1.257096
1,Parallel std::sort,4000000,631.2678000000001
2,Parallel std::sort,4000000,337.8578
3,Parallel std::sort,4000000,229.48719999999997
4,Parallel std::sort,4000000,171.07819999999998
5,Parallel std::sort,4000000,136.5532
6,Parallel std::sort,4000000,113.7796
7,Parallel std::sort,4000000,97.9023
8,Parallel std::sort,4000000,85.53853999999998
9,Parallel std::sort,4000000,76.28492
10,Parallel std::sort,4000000,68.87017999999999
12,Parallel std::sort,4000000,57.6357
16,Parallel std::sort,4000000,43.27838
20,Parallel std::sort,4000000,35.493219999999994
24,Parallel std::sort,4000000,30.694319999999998
28,Parallel std::sort,4000000,27.53304
32,Parallel std::sort,4000000,24.68808
36,Parallel std::sort,4000000,22.558280000000003
40,Parallel std::sort,4000000,21.10408
44,Parallel std::sort,4000000,20.133519999999997
48,Parallel std::sort,4000000,19.28618
52,Parallel std::sort,4000000,19.4738
56,Parallel std::sort,4000000,17.98834
60,Parallel std::sort,4000000,18.746959999999998
64,Parallel std::sort,4000000,18.3588
68,Parallel std::sort,4000000,17.75504
72,Parallel std::sort,4000000,18.816439999999997
76,Parallel std::sort,4000000,17.66008
80,Parallel std::sort,4000000,18.75074
84,Parallel std::sort,4000000,20.149679999999996
88,Parallel std::sort,4000000,20.5777
92,Parallel std::sort,4000000,19.31758
96,Parallel std::sort,4000000,20.84542
100,Parallel std::sort,4000000,20.393620000000002
104,Parallel std::sort,4000000,20.44642
108,Parallel std::sort,4000000,21.0824
112,Parallel std::sort,4000000,20.832340000000002
116,Parallel std::sort,4000000,19.46558
120,Parallel std::sort,4000000,19.640000000000004
