MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,426.43,3.130012035369873,,
Idling,,power/energy-pkg/,1172.47,10.03226613998413,,
Data Generation,250000.0,power/energy-pkg/,427.20,3.126770496368408,,
Idling,,power/energy-pkg/,1179.58,10.028715372085571,,
Data Generation,250000.0,power/energy-pkg/,426.48,3.1276159286499023,,
Idling,,power/energy-pkg/,1168.14,10.030535221099854,,
Data Generation,250000.0,power/energy-pkg/,426.26,3.1276862621307373,,
Idling,,power/energy-pkg/,1168.65,10.028728008270264,,
Data Generation,250000.0,power/energy-pkg/,426.22,3.126997470855713,,
Idling,,power/energy-pkg/,1170.88,10.028573036193848,,
Sorting,250000.0,power/energy-pkg/,3363.11,24.60827875137329,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,3362.83,24.574401378631592,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,3365.03,24.572611331939697,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,3365.24,24.582974433898926,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,3366.10,24.5945143699646,1.0,Sequential std::sort
Data Generation,4000000.0,power/energy-pkg/,6892.60,49.92429065704346,,
Idling,,power/energy-pkg/,1179.15,10.0321626663208,,
Data Generation,4000000.0,power/energy-pkg/,6880.27,49.84306502342224,,
Idling,,power/energy-pkg/,1178.15,10.032325029373169,,
Data Generation,4000000.0,power/energy-pkg/,6879.82,49.844053745269775,,
Idling,,power/energy-pkg/,1181.93,10.032109022140503,,
Data Generation,4000000.0,power/energy-pkg/,6878.56,49.852797985076904,,
Idling,,power/energy-pkg/,1161.46,10.032050848007202,,
Data Generation,4000000.0,power/energy-pkg/,6879.15,49.86356806755066,,
Idling,,power/energy-pkg/,1172.67,10.032073259353638,,
Sorting,4000000.0,power/energy-pkg/,61594.82,449.03428959846497,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,61649.90,449.3841278553009,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,61535.82,448.68618059158325,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,61667.88,449.46509861946106,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,61649.19,449.2508599758148,1.0,Sequential std::sort
Data Generation,250000.0,power/energy-pkg/,429.51,3.1387505531311035,,
Idling,,power/energy-pkg/,1165.84,10.02872610092163,,
Data Generation,250000.0,power/energy-pkg/,428.38,3.13248610496521,,
Idling,,power/energy-pkg/,1157.53,10.029788494110107,,
Data Generation,250000.0,power/energy-pkg/,427.79,3.13047194480896,,
Idling,,power/energy-pkg/,1159.91,10.03095269203186,,
Data Generation,250000.0,power/energy-pkg/,427.43,3.1308510303497314,,
Idling,,power/energy-pkg/,1161.60,10.029269456863403,,
Data Generation,250000.0,power/energy-pkg/,428.32,3.132282018661499,,
Idling,,power/energy-pkg/,1168.82,10.028634071350098,,
Sorting,250000.0,power/energy-pkg/,4212.37,30.66120147705078,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4217.68,30.67964482307434,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4218.59,30.684597492218018,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4221.19,30.681816577911377,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4221.39,30.68189001083374,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2406.83,16.970571041107178,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2411.45,16.999728441238403,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2408.50,16.97935438156128,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2408.25,16.976749897003174,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2409.75,16.987221717834473,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1856.35,12.77710509300232,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1855.47,12.765176057815552,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1800.13,12.35393738746643,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1907.78,13.132575035095215,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1802.26,12.360208749771118,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1518.90,10.128588199615479,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1529.60,10.141660690307617,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1521.55,10.122130155563354,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1532.55,10.141876220703125,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1539.67,10.18456506729126,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1327.52,8.690565347671509,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1332.80,8.679612159729004,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1334.68,8.680270671844482,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1332.03,8.683111190795898,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1343.36,8.794605255126953,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1209.82,7.775217294692993,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1199.88,7.7640721797943115,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1206.66,7.76878023147583,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1218.46,7.827454090118408,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1208.72,7.7777416706085205,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1115.43,7.112173557281494,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1116.14,7.116750955581665,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1117.47,7.1156744956970215,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1121.35,7.132619857788086,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1158.83,7.416493892669678,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1057.22,6.637734651565552,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1056.34,6.6383397579193115,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1057.49,6.630478858947754,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1052.15,6.629679918289185,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1056.94,6.642530202865601,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1022.11,6.427464962005615,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1029.53,6.465025424957275,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1003.53,6.253461122512817,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1008.31,6.251455545425415,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1004.27,6.255720853805542,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,957.69,5.950383186340332,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,959.47,5.948884725570679,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,966.93,5.957025766372681,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,960.15,5.946691274642944,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,966.27,5.948780298233032,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,903.12,5.504624605178833,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,903.49,5.501348972320557,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,902.89,5.4989423751831055,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,971.86,6.001727819442749,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,899.99,5.501901865005493,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,827.52,4.9483184814453125,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,825.72,4.949784278869629,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,827.00,4.9482951164245605,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,825.28,4.9325597286224365,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,826.21,4.933475732803345,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,779.26,4.598477602005005,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,781.83,4.60470175743103,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,779.63,4.599364280700684,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,780.20,4.61585807800293,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,779.03,4.600842714309692,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,806.17,4.797248125076294,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,749.52,4.378681182861328,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,751.48,4.394317388534546,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,749.32,4.382329702377319,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,750.27,4.38507604598999,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,767.66,4.281114816665649,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,800.87,4.471760034561157,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,794.87,4.431077003479004,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,786.32,4.3899619579315186,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,799.50,4.469151735305786,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,777.50,4.3384528160095215,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,784.50,4.359284400939941,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,788.00,4.385653257369995,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,783.38,4.36584734916687,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,775.75,4.294389247894287,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,771.67,4.2727696895599365,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,758.19,4.1928746700286865,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,755.21,4.194039583206177,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,755.36,4.1905434131622314,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,776.59,4.278599977493286,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,743.62,4.118804216384888,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,745.47,4.103681802749634,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,742.52,4.097592115402222,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,738.46,4.068525314331055,40.0,Parallel std::sort
