MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,740.40,4.051294803619385,,
Data Generation,250000.0,power/energy-ram/,85.29,4.051294803619385,,
Data Generation,250000.0,power/energy-psys/,0.00,4.051294803619385,,
Idling,,power/energy-pkg/,745.56,10.028763055801392,,
Idling,,power/energy-ram/,138.17,10.028763055801392,,
Idling,,power/energy-psys/,0.00,10.028763055801392,,
Data Generation,250000.0,power/energy-pkg/,569.21,3.5749685764312744,,
Data Generation,250000.0,power/energy-ram/,75.84,3.5749685764312744,,
Data Generation,250000.0,power/energy-psys/,0.00,3.5749685764312744,,
Idling,,power/energy-pkg/,742.57,10.028031587600708,,
Idling,,power/energy-ram/,139.90,10.028031587600708,,
Idling,,power/energy-psys/,0.00,10.028031587600708,,
Data Generation,250000.0,power/energy-pkg/,563.27,3.571504831314087,,
Data Generation,250000.0,power/energy-ram/,75.45,3.571504831314087,,
Data Generation,250000.0,power/energy-psys/,0.00,3.571504831314087,,
Idling,,power/energy-pkg/,748.02,10.028648614883423,,
Idling,,power/energy-ram/,139.42,10.028648614883423,,
Idling,,power/energy-psys/,0.00,10.028648614883423,,
Data Generation,250000.0,power/energy-pkg/,638.66,4.352460861206055,,
Data Generation,250000.0,power/energy-ram/,92.16,4.352460861206055,,
Data Generation,250000.0,power/energy-psys/,0.00,4.352460861206055,,
Idling,,power/energy-pkg/,755.04,10.028196811676025,,
Idling,,power/energy-ram/,137.16,10.028196811676025,,
Idling,,power/energy-psys/,0.00,10.028196811676025,,
Data Generation,250000.0,power/energy-pkg/,568.42,3.5720083713531494,,
Data Generation,250000.0,power/energy-ram/,75.82,3.5720083713531494,,
Data Generation,250000.0,power/energy-psys/,0.00,3.5720083713531494,,
Idling,,power/energy-pkg/,753.01,10.027796268463135,,
Idling,,power/energy-ram/,140.74,10.027796268463135,,
Idling,,power/energy-psys/,0.00,10.027796268463135,,
Sorting,250000.0,power/energy-pkg/,4836.13,23.5321102142334,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,499.88,23.5321102142334,1.0,Sequential std::sort
Sorting,250000.0,power/energy-psys/,0.00,23.5321102142334,1.0,Sequential std::sort
