MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,233.58,3.233922004699707,,
Idling,,power/energy-pkg/,399.56,11.054176807403564,,
Data Generation,250000.0,power/energy-pkg/,232.92,3.2268757820129395,,
Idling,,power/energy-pkg/,356.30,11.064046382904053,,
Data Generation,250000.0,power/energy-pkg/,232.66,3.229116201400757,,
Idling,,power/energy-pkg/,357.74,11.08187460899353,,
Data Generation,250000.0,power/energy-pkg/,233.23,3.246816635131836,,
Idling,,power/energy-pkg/,359.87,11.075230360031128,,
Data Generation,250000.0,power/energy-pkg/,232.38,3.2266299724578857,,
Idling,,power/energy-pkg/,376.39,11.068602323532104,,
Sorting,250000.0,power/energy-pkg/,2597.98,25.57831645011902,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,2603.94,25.58530879020691,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,2614.21,25.597240924835205,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,2609.72,25.55631136894226,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,2611.68,25.561664581298828,1.0,Sequential std::sort
Data Generation,4000000.0,power/energy-pkg/,3797.48,36.22413921356201,,
Idling,,power/energy-pkg/,359.82,11.073700189590454,,
Data Generation,4000000.0,power/energy-pkg/,3799.67,36.26787519454956,,
Idling,,power/energy-pkg/,359.37,11.08472990989685,,
Data Generation,4000000.0,power/energy-pkg/,4817.98,45.44861888885498,,
Idling,,power/energy-pkg/,366.17,11.05891752243042,,
Data Generation,4000000.0,power/energy-pkg/,3826.26,36.56973719596863,,
Idling,,power/energy-pkg/,357.80,11.082909345626831,,
Data Generation,4000000.0,power/energy-pkg/,3787.83,36.222241163253784,,
Idling,,power/energy-pkg/,360.45,11.067960262298584,,
Sorting,4000000.0,power/energy-pkg/,43797.40,411.99260449409485,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,44087.16,414.31087946891785,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,43900.08,412.7720687389374,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,43833.55,411.7508726119995,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,43785.60,411.798467874527,1.0,Sequential std::sort
Data Generation,250000.0,power/energy-pkg/,233.06,3.2214457988739014,,
Idling,,power/energy-pkg/,356.55,11.059669971466064,,
Data Generation,250000.0,power/energy-pkg/,235.24,3.2334110736846924,,
Idling,,power/energy-pkg/,359.00,11.065933465957642,,
Data Generation,250000.0,power/energy-pkg/,233.13,3.230243682861328,,
Idling,,power/energy-pkg/,362.99,11.069920539855957,,
Data Generation,250000.0,power/energy-pkg/,232.84,3.2296295166015625,,
Idling,,power/energy-pkg/,365.04,11.067826747894287,,
Data Generation,250000.0,power/energy-pkg/,234.27,3.2441422939300537,,
Idling,,power/energy-pkg/,386.97,11.056986570358276,,
Sorting,250000.0,power/energy-pkg/,2595.55,25.597641706466675,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2602.79,25.611509084701538,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2605.96,25.588080883026123,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2604.30,25.588309288024902,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2607.83,25.556549787521362,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1704.70,15.936360597610474,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1701.21,15.924949169158936,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1710.31,15.9252290725708,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1706.47,15.906567096710205,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1718.32,15.935625791549683,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1292.31,11.900004625320435,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1290.78,11.88147759437561,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1296.00,11.882612705230713,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1295.17,11.874412298202515,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1302.04,11.925001621246338,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1076.58,9.788012981414795,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1076.09,9.750369787216187,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1077.56,9.758049488067627,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1077.23,9.777902364730835,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1082.75,9.77509880065918,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,977.97,8.729470014572144,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,979.29,8.727981567382812,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,979.59,8.738630056381226,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,984.12,8.727384567260742,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,979.60,8.736182689666748,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,895.29,7.854114294052124,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,889.98,7.832684278488159,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,889.86,7.827550888061523,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,889.52,7.829192161560059,6.0,Parallel std::sort
