MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,323.66,3.302537202835083,,
Idling,,power/energy-pkg/,108.27,10.318357944488525,,
Data Generation,250000.0,power/energy-pkg/,322.75,3.254826307296753,,
Idling,,power/energy-pkg/,108.18,10.316898584365845,,
Data Generation,250000.0,power/energy-pkg/,321.94,3.250910520553589,,
Idling,,power/energy-pkg/,109.18,10.31654953956604,,
Data Generation,250000.0,power/energy-pkg/,321.62,3.246168375015259,,
Idling,,power/energy-pkg/,108.43,10.31870174407959,,
Data Generation,250000.0,power/energy-pkg/,319.10,3.255061388015747,,
Idling,,power/energy-pkg/,108.46,10.319489240646362,,
Sorting,250000.0,power/energy-pkg/,"3,224.31",29.24907922744751,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,237.71",29.2101628780365,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,236.42",29.189045429229736,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,234.35",29.202086210250854,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,229.09",29.183983325958252,1.0,Sequential std::sort
Data Generation,4000000.0,power/energy-pkg/,5219.27,47.199342012405396,,
Idling,,power/energy-pkg/,106.93,10.319329977035522,,
Data Generation,4000000.0,power/energy-pkg/,5199.79,47.02999687194824,,
Idling,,power/energy-pkg/,106.49,10.310207605361938,,
Data Generation,4000000.0,power/energy-pkg/,5211.86,47.17047119140625,,
Idling,,power/energy-pkg/,106.51,10.313197135925293,,
Data Generation,4000000.0,power/energy-pkg/,5210.77,47.13941717147827,,
Idling,,power/energy-pkg/,106.70,10.324586391448975,,
Data Generation,4000000.0,power/energy-pkg/,5208.18,47.14704346656799,,
Idling,,power/energy-pkg/,106.01,10.313090562820435,,
Sorting,4000000.0,power/energy-pkg/,"58,743.39",527.7712163925171,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"58,742.09",527.8416812419891,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"58,732.02",527.738783121109,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"58,877.01",527.7499384880066,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"58,794.66",527.6928462982178,1.0,Sequential std::sort
Data Generation,250000.0,power/energy-pkg/,319.50,3.263397216796875,,
Idling,,power/energy-pkg/,106.50,10.31239938735962,,
Data Generation,250000.0,power/energy-pkg/,319.43,3.2555692195892334,,
Idling,,power/energy-pkg/,104.56,10.366396427154541,,
Data Generation,250000.0,power/energy-pkg/,317.64,3.27087140083313,,
Idling,,power/energy-pkg/,106.40,10.317455768585205,,
Data Generation,250000.0,power/energy-pkg/,317.67,3.258312463760376,,
Idling,,power/energy-pkg/,106.30,10.318384885787964,,
Data Generation,250000.0,power/energy-pkg/,322.75,3.246225357055664,,
Idling,,power/energy-pkg/,105.51,10.319414615631104,,
Sorting,250000.0,power/energy-pkg/,"3,198.33",29.229274034500122,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"3,213.07",29.199141025543213,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"3,218.81",29.195318937301636,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"3,219.10",29.20490288734436,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"3,217.77",29.19577145576477,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,949.57",17.38196063041687,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,966.42",17.382506608963013,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,960.98",17.319409370422363,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,961.78",17.40618658065796,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,961.46",17.352960109710693,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,520.46",13.431303262710571,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,521.69",13.362295150756836,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,526.57",13.38819169998169,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,518.44",13.33300518989563,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,518.30",13.33169150352478,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,275.52",11.17619800567627,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,270.73",11.042518854141235,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,269.79",11.045660734176636,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,272.21",11.040048837661743,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,271.56",11.035946607589722,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,166.14",10.12568974494934,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,167.68",10.056427001953125,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,167.05",10.049855470657349,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,168.66",10.066376447677612,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,167.57",10.087844371795654,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,046.15",9.032092332839966,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,051.42",9.008605718612671,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,054.83",9.018445491790771,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,055.49",9.01975393295288,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,054.95",9.00495457649231,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,969.51,8.289564371109009,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,976.18,8.2807776927948,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,976.56,8.278476476669312,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,976.33,8.279347896575928,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,976.35,8.2774076461792,7.0,Parallel std::sort
