MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,880.42,4.404798984527588,,
Data Generation,250000.0,power/energy-ram/,272.73,4.404798984527588,,
Idling,,power/energy-pkg/,1230.64,10.040404319763184,,
Idling,,power/energy-ram/,535.65,10.040404319763184,,
Data Generation,250000.0,power/energy-pkg/,880.11,4.407961368560791,,
Data Generation,250000.0,power/energy-ram/,273.19,4.407961368560791,,
Idling,,power/energy-pkg/,1231.75,10.040962219238281,,
Idling,,power/energy-ram/,534.41,10.040962219238281,,
Data Generation,250000.0,power/energy-pkg/,881.89,4.415852308273315,,
Data Generation,250000.0,power/energy-ram/,273.57,4.415852308273315,,
Idling,,power/energy-pkg/,1229.03,10.040718793869019,,
Idling,,power/energy-ram/,535.43,10.040718793869019,,
Data Generation,250000.0,power/energy-pkg/,877.40,4.393820524215698,,
Data Generation,250000.0,power/energy-ram/,272.30,4.393820524215698,,
Idling,,power/energy-pkg/,1230.10,10.04146409034729,,
Idling,,power/energy-ram/,536.00,10.04146409034729,,
Data Generation,250000.0,power/energy-pkg/,875.84,4.400883674621582,,
Data Generation,250000.0,power/energy-ram/,272.44,4.400883674621582,,
Idling,,power/energy-pkg/,1228.35,10.038840293884277,,
Idling,,power/energy-ram/,535.35,10.038840293884277,,
Sorting,250000.0,power/energy-pkg/,5550.47,27.16960835456848,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,1691.48,27.16960835456848,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,5593.48,27.295398235321045,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,1702.63,27.295398235321045,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,5574.25,27.154829025268555,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,1693.55,27.154829025268555,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,5581.54,27.157379388809204,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,1694.55,27.157379388809204,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,5581.91,27.15680766105652,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,1694.70,27.15680766105652,1.0,Sequential std::sort
Data Generation,4000000.0,power/energy-pkg/,14181.57,69.55484223365784,,
Data Generation,4000000.0,power/energy-ram/,4350.87,69.55484223365784,,
Idling,,power/energy-pkg/,1234.01,10.042237997055054,,
Idling,,power/energy-ram/,535.05,10.042237997055054,,
Data Generation,4000000.0,power/energy-pkg/,14174.83,69.52642512321472,,
Data Generation,4000000.0,power/energy-ram/,4349.53,69.52642512321472,,
Idling,,power/energy-pkg/,1231.89,10.04918909072876,,
Idling,,power/energy-ram/,536.96,10.04918909072876,,
Data Generation,4000000.0,power/energy-pkg/,14182.05,69.55000567436218,,
Data Generation,4000000.0,power/energy-ram/,4354.42,69.55000567436218,,
Idling,,power/energy-pkg/,1235.09,10.041908502578735,,
Idling,,power/energy-ram/,535.51,10.041908502578735,,
Data Generation,4000000.0,power/energy-pkg/,14195.77,69.6217896938324,,
Data Generation,4000000.0,power/energy-ram/,4356.83,69.6217896938324,,
Idling,,power/energy-pkg/,1233.77,10.042175054550171,,
Idling,,power/energy-ram/,535.51,10.042175054550171,,
Data Generation,4000000.0,power/energy-pkg/,14189.48,69.53145503997803,,
Data Generation,4000000.0,power/energy-ram/,4348.46,69.53145503997803,,
Idling,,power/energy-pkg/,1235.33,10.041929006576538,,
Idling,,power/energy-ram/,536.63,10.041929006576538,,
Sorting,4000000.0,power/energy-pkg/,93981.71,456.4688227176666,1.0,Sequential std::sort
