MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,1034.39,5.6450159549713135,,
Data Generation,250000.0,power/energy-ram/,421.84,5.6450159549713135,,
Idling,,power/energy-pkg/,1837.49,10.101958513259888,,
Idling,,power/energy-ram/,760.77,10.101958513259888,,
Data Generation,250000.0,power/energy-pkg/,1034.11,5.6399877071380615,,
Data Generation,250000.0,power/energy-ram/,421.62,5.6399877071380615,,
Idling,,power/energy-pkg/,1836.99,10.100436449050903,,
Idling,,power/energy-ram/,759.75,10.100436449050903,,
Data Generation,250000.0,power/energy-pkg/,1031.41,5.623356342315674,,
Data Generation,250000.0,power/energy-ram/,420.33,5.623356342315674,,
Idling,,power/energy-pkg/,1836.35,10.102042436599731,,
Idling,,power/energy-ram/,760.11,10.102042436599731,,
Data Generation,250000.0,power/energy-pkg/,1033.65,5.635242462158203,,
Data Generation,250000.0,power/energy-ram/,421.70,5.635242462158203,,
Idling,,power/energy-pkg/,1835.58,10.09854531288147,,
Idling,,power/energy-ram/,760.45,10.09854531288147,,
Data Generation,250000.0,power/energy-pkg/,1034.12,5.636294603347778,,
Data Generation,250000.0,power/energy-ram/,421.57,5.636294603347778,,
Idling,,power/energy-pkg/,1836.76,10.10097861289978,,
Idling,,power/energy-ram/,760.43,10.10097861289978,,
Sorting,250000.0,power/energy-pkg/,6496.62,34.962528467178345,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,2655.66,34.962528467178345,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,6493.81,34.967411518096924,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,2658.06,34.967411518096924,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,6492.43,34.96127271652222,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,2655.88,34.96127271652222,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,6485.56,34.95457339286804,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,2655.87,34.95457339286804,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,6493.21,34.9856173992157,1.0,Sequential std::sort
Sorting,250000.0,power/energy-ram/,2657.16,34.9856173992157,1.0,Sequential std::sort
