MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,589.84,5.790974140167236,,
Idling,,power/energy-pkg/,691.54,10.071799755096436,,
Data Generation,250000.0,power/energy-pkg/,591.09,5.78474497795105,,
Idling,,power/energy-pkg/,688.72,10.073497533798218,,
Data Generation,250000.0,power/energy-pkg/,590.59,5.793240070343018,,
Idling,,power/energy-pkg/,687.16,10.0724036693573,,
Data Generation,250000.0,power/energy-pkg/,590.17,5.781900882720947,,
Idling,,power/energy-pkg/,686.95,10.074480772018433,,
Data Generation,250000.0,power/energy-pkg/,590.64,5.789342641830444,,
Idling,,power/energy-pkg/,685.36,10.07723069190979,,
Sorting,250000.0,power/energy-pkg/,"3,165.70",29.92396354675293,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,164.58",29.831963539123535,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,172.09",29.888038635253906,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,167.63",29.8353750705719,1.0,Sequential std::sort
Sorting,250000.0,power/energy-pkg/,"3,172.03",29.871662616729736,1.0,Sequential std::sort
Data Generation,4000000.0,power/energy-pkg/,9383.53,90.22786664962769,,
Idling,,power/energy-pkg/,688.48,10.075931072235107,,
Data Generation,4000000.0,power/energy-pkg/,9377.98,90.23079633712769,,
Idling,,power/energy-pkg/,691.83,10.073620080947876,,
Data Generation,4000000.0,power/energy-pkg/,9377.53,90.21913075447083,,
Idling,,power/energy-pkg/,686.09,10.074320316314697,,
Data Generation,4000000.0,power/energy-pkg/,9411.64,90.34209370613098,,
Idling,,power/energy-pkg/,690.38,10.075804233551025,,
Data Generation,4000000.0,power/energy-pkg/,9377.48,90.20822167396545,,
Idling,,power/energy-pkg/,689.87,10.074242115020752,,
Sorting,4000000.0,power/energy-pkg/,"60,552.31",568.8232388496399,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"59,439.92",557.8816115856171,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"59,356.13",557.6329100131989,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"59,412.92",557.8564164638519,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,"59,411.68",557.712678194046,1.0,Sequential std::sort
